句子,关键词位置,原始关键词,对立关键词
一个围观的女学生急切地问记者：“结果出来了吗”？,"[5, 6]",女,男
“爽文”，分为几种不同的类型，“修仙升级”“大女主宫斗”“职场逆袭”等等，情节略有不同，但套路基本一致：主角小受挫折却始终机遇垂青，成就辉煌人生。,"[23, 24]",女,男
而且，逐渐地在无形中形成了民族儿童文学女作家群。,"[19, 20]",女,男
年轻人，又是女同志，确实不容易！,"[6, 7]",女,男
一次，一名女大学生因失恋而精神异常，跳楼自杀致下肢粉碎性骨折。,"[5, 6]",女,男
如果说女同志既要做好工作，又要照顾好家庭，那就像鱼和熊掌一样不可兼得一样。,"[7, 8]",女,男
女服务生一口洁白的美丽牙齿。,"[1, 2]",女,男
我们停留的这家，女主人是一位残疾人。,"[8, 9]",女,男
少女淡淡一笑，在桥头顺手摘了一片树叶，指尖捏住树叶的两端，嘴唇含住叶片吹奏起来，乐声脆生生，亮堂堂，婉转悠扬，直飞天际。,"[1, 2]",女,男
开场之后，中国女足很快占据了场上主动。,"[7, 8]",女,男
女朋友痴迷韩剧让人匪夷所思！,"[0, 1]",女,男
一个女娃子骑啥摩托嘛，摔死了怎么办？,"[2, 3]",女,男
于是，作者描写了一位退休女教师受到脱贫攻坚战的感召，回到家乡，协助政府做已经达到脱贫标准的群众不再享受扶贫优惠的工作。,"[12, 13]",女,男
深知铁路安全的重要性，两位女职工自上班之日起就坚守在这个岗位上。,"[14, 15]",女,男
农家女考上北大为何“感谢贫穷”？,"[2, 3]",女,男
女兵征集对象为普通高中应届毕业生和普通高等学校全日制应届毕业生及在校生。,"[0, 1]",女,男
作为女同志，看守道口最让人难熬的就是夜深人静的时候。,"[2, 3]",女,男
几天前，这个受人尊敬的女教师又被教育部评选为全国教书育人楷模。,"[11, 12]",女,男
女科技工作者协会的专家开展了义诊活动，和科学育儿、法律维权、美容等宣传、咨询活动。,"[0, 1]",女,男
一位在省城工作的女同志能够真正将心扑在了贫困山村，转换角色，克服困难，积极主动地投身于脱贫攻坚战中，又怎能不使人动容！,"[8, 9]",女,男
48岁的女教师王某，因为工作压力大，又进入更年期，性格敏感易怒，稍不如意就哭哭闹闹，搅得全家常无宁日，严重影响到家庭的和睦。,"[4, 5]",女,男
女教师温柔地说：“这些好朋友呀，就爱找睡的又快又香的好孩子做朋友”，这句话仿佛有魔力，所有的小朋友乖乖躺好，闭紧了双眼，不一会儿就呼呼地进入了梦乡。,"[0, 1]",女,男
